"id","title","category_id","name"
"MLA863267784","Monitor Dell P2018h Led 19.5  Negro 110v/220v","MLA14407","Monitores"
"MLA852423966","Router Cisco Rv042g Negro","MLA430901","Routers"
"MLA740540307","Servidor Poweredge Dell T40 Xeon E3-1225 8gb 1tb Hd Free Dos","MLA1649","PC"
"MLA663208480","Notebook Laptop Dell Inspiron I5 16g 256ssd Ubuntu Ram","MLA1652","Notebooks"
"MLA609550688","Ups Apc Easy 500va Estabilizador Y Protector De Tension Con Ahorro De Energia Gtia Oficial 2 Años","MLA1720","UPS"
"MLA614270244","Ups Apc 1000va Para Pc Gamer Simil Bx1100 Bv1000i-ar Estabilizador Y Protector De Tension Gtia Oficial 2 Años","MLA1720","UPS"
"MLA867877670","Servidor Rack Dell Poweredge R240 Xeon 16gb 2tb Gtia Cuotas","MLA1649","PC"
"MLA619999038","Ups Apc 550va 3 Tomas Gtia Oficial 2 Años Estabilizador Y Protector De Tension Con Ahorro De Energia","MLA1720","UPS"
"MLA837842655","Notebook Dell Inspiron I7 256ssd 32gb 15.6 W10 Gforce Oferta","MLA1652","Notebooks"
"MLA625205834","Ups Apc 800va 6 T Estabilizador Y Protector De Tension Gtia Oficial 2 Años Bx800 Para Tv, Play, Equipos De Audio","MLA1720","UPS"
"MLA659248541","Monitor Gamer Hd Dell Led Profesional 20 Dp Vertical","MLA14407","Monitores"
"MLA827806651","Pc Dell Optiplex I5 8gb 1tb Win10p + Monitor P2018h 3 Gtias","MLA1649","PC"
"MLA863062405","Router Wifi Linksys Dualband 600mbps Usb  Entrega Inmediata","MLA430901","Routers"
"MLA689148569","Switch 8 Bocas Cisco 8 Puertos 10/100mbps Para Hogar Y Empresa - Garantia Oficial - Factura A Y B","MLA1708","Switches"
"MLA833393643","Notebook Laptop Dell Inspiron I5 10g 8g 256gb Ubuntu Oferta","MLA1652","Notebooks"
"MLA861373243","Servidor Rack Dell Poweredge R240 Xeon 32gb 4tb Gtia Cuotas","MLA1649","PC"
"MLA609116302","Ups Apc 1500va Con Ahorro De Energa Estabilizador Y Protector De Tension Gtia Oficial Ideal Para Uso Gamer","MLA1720","UPS"
"MLA683834424","Router Cisco Rv160w Wireless Ac Vpn Dualband Usb Oferta","MLA430901","Routers"
"MLA846968526","Ups Apc Bv1000 Estabilza Y Protege Tensión Entrega Inmediata","MLA1720","UPS"
"MLA864665962","Escaner Iris Desk Pro 5 Ideal Libros Documentos Usb","MLA72721","Scanners"
"MLA673280398","Servidor Rack Dell Poweredge R240 Xeon E-2124 8gb 2tb Gtia","MLA1649","PC"
"MLA842579291","Notebook Dell Inspiron I7 10g 256ssd 16g 15,6 Ubuntu Gforce","MLA1652","Notebooks"
"MLA839633052","Ups Apc Easy Bv500i-ar 500va Bv500 Gtia Oficial 2 Años","MLA1720","UPS"
"MLA862050665","Servidor Poweredge Dell T40 Intel E3-2224 16gb 1tb Hd Cuotas","MLA1649","PC"
"MLA837797303","Notebook Laptop Dell Inspiron I3 16gb 1tb 15,6 Fhd Win 10","MLA1652","Notebooks"
"MLA620000215","Router Wifi Linksys Dual Band 2 Antenas Usb 3.0 Conectar Equipos De Hogar Y Empresas Gtia Oficial  Factura A Y B","MLA430901","Routers"
"MLA863060151","Router Wifi Linksys Ea6100 Dualband Usb 3.0 Control Parental","MLA430901","Routers"
"MLA838441150","Servidor Poweredge Dell T40 Xeon E3-2224 16gb 1tb Hd Gtia","MLA1649","PC"
"MLA673321805","Ups Apc 1500va Estabilizador Y Protector De Tension - Alto Rendimiento Para Pc De Hogar Y Oficina Gtia 2años","MLA1720","UPS"
"MLA834430429","Notebook Dell Inspiron I7 256ssd + 480ssd 16gb W10gforce ","MLA1652","Notebooks"
"MLA846965428","Ups Apc Bv500 Estabilizador Protector Tension Entreg Inmedit","MLA1720","UPS"
"MLA800416106","Servidor Dell Poweredge R440 Xeon 16gb 2tb Gtia 3 Años","MLA1649","PC"
"MLA614716924","Ups Apc Br550g-ar Back-ups Pro 550va 230 Estabilizador Br550","MLA1720","UPS"
"MLA846185645","Iris Pen Air 7 Lapiz Escaner Portátil Usb Ocr Traductor","MLA72721","Scanners"
"MLA860403296","Servidor Dell Poweredge R440 Xeon 16gb 2tb Gtia 3 Años","MLA1649","PC"
"MLA818937494","Notebook Dell Inspiron I7 10g 256ssd 8g 15,6 Ubuntu Gforce","MLA1652","Notebooks"
"MLA859898732","Switch Cisco Semi Admin 24 Puertos 10/100 2 Giga Sf220-24-k9","MLA1708","Switches"
"MLA795525213","Ups Apc Easy Bv500i-ar 500va Bv500 Gtia Oficial 2 Años","MLA1720","UPS"
"MLA741037279","Monitor Gamer Dell Led P2018h Profesional 20 Hdmi Vertical","MLA14407","Monitores"
"MLA867089021","Servidor Rack Dell Poweredge R240 Xeon 32gb 4tb Gtia ","MLA1649","PC"
"MLA619242948","Router Wifi Linksys Dual Band 600mbps 802.11n Usb","MLA430901","Routers"
